time,location,country,description,sunrise,sunset,clouds,windspeed,winddeg,tempmin,tempmax,temp,pressure,humidity
1558356198,"Tromsø","NO","clear sky",0,0,0,4.1,100,14,20,16.69,1016,54
1558357201,"Tromsø","NO","clear sky",0,0,0,4.1,100,14,20,16.85,1016,50
1558358467,"Tromsø","NO","clear sky",0,0,0,4.1,100,14,20,16.89,1016,50
1558358509,"Tromsø","NO","clear sky",0,0,0,4.1,100,14,20,16.89,1016,50
1558359044,"Tromsø","NO","clear sky",0,0,0,4.1,90,14,20,16.65,1016,50
1558359075,"Tromsø","NO","clear sky",0,0,0,4.1,90,14,20,16.65,1016,50
1558359608,"Tromsø","NO","clear sky",0,0,0,4.1,90,14,20,16.69,1016,50
1558360179,"Tromsø","NO","clear sky",0,0,0,4.1,90,14,20,16.69,1016,50
1558360261,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.35,1016,54
1558360301,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.35,1016,54
1558360654,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.36,1016,54
1558360727,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.36,1016,54
1558360731,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.35,1016,54
1558360801,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.35,1016,54
1558361203,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.36,1016,54
1558361401,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.2,1016,54
1558361587,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.21,1016,54
1558361668,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.2,1016,54
1558361786,"Tromsø","NO","clear sky",0,0,0,4.6,90,13,20,16.2,1016,54
1558362001,"Tromsø","NO","clear sky",0,0,0,4.6,100,13,20,16.15,1016,54
1558362218,"Tromsø","NO","clear sky",0,0,0,4.6,100,13,20,16.15,1016,54
1558362674,"Tromsø","NO","clear sky",0,0,0,4.6,100,13,20,16.15,1016,54
1558362781,"Tromsø","NO","clear sky",0,0,0,4.6,100,13,20,16.15,1016,54
1558362841,"Tromsø","NO","clear sky",0,0,0,4.6,100,13,20,16.18,1016,54
1558362901,"Tromsø","NO","clear sky",0,0,0,4.6,100,13,20,16.18,1016,54
1558363201,"Tromsø","NO","clear sky",0,0,0,4.6,100,13,20,16,1016,54
1558366201,"Tromsø","NO","clear sky",0,0,0,5.1,100,13,19,15.42,1017,54
1558366801,"Tromsø","NO","clear sky",0,0,0,5.1,100,13,19,15.26,1017,54
1558367401,"Tromsø","NO","clear sky",0,0,0,5.1,100,12,19,15.11,1017,58
1558368001,"Tromsø","NO","clear sky",0,0,0,5.1,100,12,19,15.13,1017,58
1558368601,"Tromsø","NO","clear sky",0,0,0,5.1,100,12,19,14.97,1017,58
1558369201,"Tromsø","NO","clear sky",0,0,0,5.1,100,12,19,14.97,1017,58
1558369801,"Tromsø","NO","clear sky",0,0,0,3.6,110,11,19,14.64,1017,62
1558370401,"Tromsø","NO","clear sky",0,0,0,3.6,110,11,19,14.64,1017,62
1558371001,"Tromsø","NO","clear sky",0,0,0,4.1,100,11,18,14.26,1017,62
1558371601,"Tromsø","NO","clear sky",0,0,0,4.1,100,11,18,14.26,1017,62
1558372201,"Tromsø","NO","clear sky",0,0,0,4.1,100,11,18,14.12,1017,62
1558372801,"Tromsø","NO","clear sky",0,0,0,5.1,90,11,17,13.71,1017,62
1558373401,"Tromsø","NO","clear sky",0,0,0,5.1,90,11,17,13.71,1017,62
1558374001,"Tromsø","NO","clear sky",0,0,0,5.1,90,11,17,13.77,1017,62
1558374601,"Tromsø","NO","clear sky",0,0,0,4.6,90,10,17,13.63,1017,66
1558375201,"Tromsø","NO","clear sky",0,0,0,4.6,90,10,17,13.66,1017,66
1558375801,"Tromsø","NO","clear sky",0,0,0,4.6,90,10,17,13.7,1017,66
1558376401,"Tromsø","NO","clear sky",0,0,0,4.6,90,10,17,13.7,1017,66
1558377001,"Tromsø","NO","clear sky",0,0,0,5.7,90,9,16,12.61,1017,70
1558377601,"Tromsø","NO","clear sky",0,0,0,5.7,90,9,16,12.63,1017,70
1558378201,"Tromsø","NO","clear sky",0,0,0,5.7,90,9,16,12.64,1017,70
1558378801,"Tromsø","NO","clear sky",0,0,0,5.7,90,9,16,12.62,1017,70
1558379401,"Tromsø","NO","clear sky",0,0,0,5.7,90,9,16,12.65,1017,70
1558380001,"Tromsø","NO","clear sky",0,0,0,5.1,90,9,15,11.84,1017,70
1558380601,"Tromsø","NO","clear sky",0,0,0,5.1,90,9,15,11.65,1017,70
1558381201,"Tromsø","NO","clear sky",0,0,0,5.1,90,9,15,11.48,1017,70
1558381801,"Tromsø","NO","clear sky",0,0,0,5.7,90,8,15,11.34,1017,75
1558382401,"Tromsø","NO","clear sky",0,0,0,5.7,90,8,15,11.19,1017,75
1558383001,"Tromsø","NO","clear sky",0,0,0,5.7,90,8,15,11.05,1017,75
1558383601,"Tromsø","NO","clear sky",0,0,0,5.7,90,8,13,9.95,1017,75
1558384202,"Tromsø","NO","clear sky",0,0,0,5.7,90,8,13,10.06,1017,75
1558384801,"Tromsø","NO","clear sky",0,0,0,5.7,90,8,13,9.88,1017,75
1558385401,"Tromsø","NO","clear sky",0,0,0,5.7,90,8,13,9.88,1017,75
1558386001,"Tromsø","NO","clear sky",0,0,0,8.2,20,7,13,9.57,1017,75
1558386601,"Tromsø","NO","clear sky",0,0,0,8.2,20,7,13,9.43,1017,75
